replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	545         	5.083       	0.02859     	0.06492     	0.03058     
1           	550         	5.183       	0.01698     	0.0776      	0.05196     
1           	555         	5.317       	0.02484     	0.05954     	0.02411     
1           	560         	5.25        	0.01807     	0.04148     	0.02128     
1           	565         	5.3         	0.02174     	0.05621     	0.02522     
1           	570         	5.217       	0.01482     	0.04837     	0.0374      
1           	575         	5.033       	0.01801     	0.07507     	0.03759     
1           	580         	5.067       	0.03493     	0.04941     	0.04037     
1           	585         	5.2         	0.02947     	0.08937     	0.03464     
1           	590         	5.217       	0.01517     	0.04883     	0.03097     
1           	595         	5.1         	0.03529     	0.07015     	0.04008     
1           	600         	4.983       	0.04633     	0.08826     	0.05897     
1           	605         	5.033       	0.03619     	0.06913     	0.03416     
1           	610         	5.083       	0.03763     	0.06968     	0.03918     
1           	615         	4.883       	0.03612     	0.06245     	0.0346      
1           	620         	4.95        	0.0233      	0.06242     	0.02354     
1           	625         	4.817       	0.02789     	0.09053     	0.03543     
1           	630         	4.933       	0.04317     	0.08206     	0.0307      
1           	635         	4.767       	0.03314     	0.07176     	0.03722     
1           	640         	4.9         	0.0314      	0.07464     	0.02986     
1           	645         	4.717       	0.04104     	0.07356     	0.02805     
1           	650         	4.883       	0.01685     	0.04933     	0.03545     
1           	655         	4.917       	0.0178      	0.0607      	0.03013     
1           	660         	4.9         	0.02707     	0.05957     	0.04762     
1           	665         	4.85        	0.03172     	0.05548     	0.03898     
1           	670         	4.8         	0.02695     	0.05649     	0.03904     
1           	675         	4.833       	0.03315     	0.04266     	0.0327      
1           	680         	4.867       	0.03001     	0.0595      	0.04134     
1           	685         	4.75        	0.02787     	0.05323     	0.0245      
1           	690         	4.75        	0.02576     	0.05869     	0.0302      
1           	695         	4.717       	0.0164      	0.05449     	0.02525     
1           	700         	4.55        	0.03437     	0.05063     	0.03614     
1           	705         	4.667       	0.01774     	0.05463     	0.02853     
1           	710         	4.717       	0.02287     	0.05049     	0.02945     
1           	715         	4.65        	0.04062     	0.06439     	0.03913     
1           	720         	4.8         	0.03968     	0.04033     	0.02772     
1           	725         	4.767       	0.02884     	0.02271     	0.02921     
1           	730         	4.733       	0.01827     	0.02543     	0.01448     
1           	735         	4.717       	0.01599     	0.03464     	0.01581     
1           	740         	4.667       	0.02105     	0.03524     	0.01506     
1           	745         	4.5         	0.03049     	0.05887     	0.01876     
1           	750         	4.45        	0.02325     	0.05445     	0.0329      
1           	755         	4.383       	0.02665     	0.06894     	0.03251     
1           	760         	4.567       	0.01428     	0.04755     	0.02653     
1           	765         	4.367       	0.02877     	0.04379     	0.03774     
1           	770         	4.367       	0.01853     	0.06335     	0.03172     
1           	775         	4.467       	0.02736     	0.06476     	0.056       
1           	780         	4.55        	0.03788     	0.05551     	0.02454     
1           	785         	4.317       	0.04975     	0.06927     	0.04674     
1           	790         	4.35        	0.03861     	0.06545     	0.02473     
1           	795         	4.367       	0.03878     	0.05565     	0.02622     
1           	800         	4.35        	0.03476     	0.06696     	0.02726     
1           	805         	4.35        	0.03125     	0.06924     	0.05614     
1           	810         	4.483       	0.02458     	0.06751     	0.02839     
1           	815         	4.483       	0.02485     	0.06238     	0.0233      
1           	820         	4.467       	0.03663     	0.04859     	0.01948     
1           	825         	4.6         	0.05382     	0.07242     	0.03096     
1           	830         	4.55        	0.03745     	0.0717      	0.02436     
1           	835         	4.483       	0.04987     	0.07743     	0.02078     
1           	840         	4.483       	0.04088     	0.09105     	0.02598     
1           	845         	4.367       	0.05356     	0.0809      	0.03083     
1           	850         	4.217       	0.05281     	0.09105     	0.03341     
1           	855         	4.25        	0.03912     	0.08966     	0.03282     
1           	860         	4.3         	0.02641     	0.06296     	0.02847     
1           	865         	4.267       	0.04481     	0.07794     	0.0357      
1           	870         	4.283       	0.01981     	0.0854      	0.03402     
1           	875         	4.167       	0.02439     	0.06195     	0.0296      
1           	880         	4.25        	0.02106     	0.04425     	0.02757     
1           	885         	4.1         	0.0214      	0.06352     	0.03674     
1           	890         	4.25        	0.03443     	0.07546     	0.02357     
1           	895         	4.283       	0.03536     	0.06401     	0.01445     
1           	900         	4.4         	0.02625     	0.06507     	0.02508     
1           	905         	4.233       	0.0306      	0.08189     	0.03636     
1           	910         	4.2         	0.01448     	0.04329     	0.02283     
1           	915         	4.117       	0.0281      	0.05976     	0.02902     
1           	920         	4.317       	0.03941     	0.0513      	0.02072     
1           	925         	4.067       	0.03282     	0.05304     	0.01255     
1           	930         	4.117       	0.02638     	0.05208     	0.0128      
