replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	540         	9.45        	0.005736    	0.01315     	-0.0003812  
1           	545         	9.883       	0.006702    	0.01176     	0.005381    
1           	550         	9.683       	0.0031      	0.007264    	0.007154    
1           	555         	9.6         	0.001333    	0.008312    	0.003664    
1           	560         	9.467       	0.00251     	0.01869     	0.005174    
1           	565         	9.533       	0.006482    	0.008839    	0.006825    
1           	570         	9.65        	0.003014    	0.005048    	0.003893    
1           	575         	9.7         	0.001165    	0.008842    	0.008424    
1           	580         	9.117       	0.005233    	0.007983    	-4.962e-05  
1           	585         	9.317       	0.00209     	0.004796    	0.002175    
1           	590         	9.1         	0.005504    	0.00642     	0.003876    
1           	595         	9.233       	0.004385    	0.009235    	0.004351    
1           	600         	9.533       	-0.003233   	0.001669    	5.78e-05    
1           	605         	9.167       	0.002567    	0.01018     	0.005776    
1           	610         	9.517       	0.005946    	0.00639     	0.002857    
1           	615         	9.267       	-1.999e-05  	0.007109    	0.01395     
1           	620         	9.183       	0.007639    	0.0144      	0.003931    
1           	625         	9.183       	0.004159    	0.005759    	0.004765    
1           	630         	9.15        	0.00267     	0.009086    	0.0006158   
1           	635         	9.183       	0.006089    	0.008969    	0.00447     
1           	640         	8.9         	0.0002794   	0.009356    	0.003105    
1           	645         	8.983       	0.007107    	0.008769    	-0.003496   
1           	650         	8.967       	-0.0007042  	0.004474    	0.0008379   
1           	655         	8.733       	0.001291    	0.01204     	0.006564    
1           	660         	8.783       	0.004274    	0.007176    	0.004853    
1           	665         	8.933       	0.001911    	0.009191    	0.004721    
1           	670         	8.917       	0.0002319   	0.007256    	0.006865    
1           	675         	8.667       	0.001852    	0.006067    	0.00455     
1           	680         	8.5         	0.009466    	0.006816    	0.01101     
1           	685         	8.567       	0.003138    	0.009597    	0.003171    
1           	690         	8.517       	0.005137    	0.01107     	0.004035    
1           	695         	8.65        	-0.002009   	0.003952    	-0.001214   
1           	700         	8.433       	0.00581     	0.01044     	0.003915    
1           	705         	8.417       	0.008467    	0.01137     	0.004042    
1           	710         	8.717       	0.0007843   	0.007437    	0.005674    
1           	715         	8.517       	0.00312     	0.005895    	0.004533    
1           	720         	8.333       	0.007038    	0.007611    	0.0006628   
1           	725         	8.25        	0.004858    	0.01331     	0.006626    
1           	730         	8.25        	0.004625    	0.01063     	0.0002016   
1           	735         	8.15        	0.004393    	0.009243    	0.005414    
1           	740         	8.383       	0.0009555   	0.006376    	-0.0007492  
1           	745         	8.3         	0.00548     	0.004182    	-0.0005489  
1           	750         	8.433       	0.0006924   	0.01022     	0.01084     
1           	755         	8.3         	0.007494    	0.004162    	0.004665    
1           	760         	8.333       	0.005776    	0.009603    	0.007169    
1           	765         	8.383       	0.001418    	0.003416    	0.0002371   
1           	770         	8.4         	0.00824     	0.008858    	0.005663    
1           	775         	8.283       	0.002764    	0.003494    	0.003099    
1           	780         	8.183       	0.00216     	0.007926    	0.001929    
1           	785         	8.133       	0.002506    	0.003702    	0.001857    
1           	790         	8.367       	0.0007292   	0.005911    	0.003269    
1           	795         	8.2         	0.005808    	0.005488    	0.002134    
1           	800         	8.1         	0.003848    	0.005165    	-0.0007195  
1           	805         	8.133       	0.002357    	0.006722    	0.007044    
1           	810         	8.017       	0.002381    	0.001224    	-0.0009065  
1           	815         	8.167       	0.003127    	0.01069     	0.003428    
1           	820         	8.3         	0.0002536   	0.01019     	0.002221    
1           	825         	8.167       	0.0109      	0.01191     	0.0006263   
1           	830         	7.983       	0.001617    	0.01221     	0.006886    
1           	835         	8.033       	0.008315    	0.01178     	0.001586    
1           	840         	7.817       	0.01149     	0.01599     	0.006633    
1           	845         	7.867       	0.01191     	0.008291    	0.0006636   
1           	850         	7.917       	0.003682    	0.006664    	-0.0002489  
1           	855         	7.933       	0.004285    	0.008399    	0.007049    
1           	860         	7.8         	0.002913    	0.006132    	-0.002044   
1           	865         	7.817       	0.001901    	0.006815    	0.004443    
1           	870         	8.033       	0.001569    	0.008852    	0.004382    
1           	875         	7.95        	0.002652    	0.01865     	0.008757    
1           	880         	7.867       	0.001251    	0.007217    	0.007613    
1           	885         	7.7         	0.001932    	0.009055    	0.003556    
1           	890         	7.683       	0.002898    	0.01383     	0.003125    
1           	895         	7.833       	0.00229     	0.008378    	0.000947    
1           	900         	7.783       	0.004147    	0.008133    	0.002991    
1           	905         	7.75        	0.004217    	0.007779    	0.003407    
1           	910         	7.867       	0.005247    	0.01147     	0.003543    
1           	915         	7.7         	0.003047    	0.01506     	0.007262    
1           	920         	7.767       	0.003345    	0.01301     	0.008457    
1           	925         	7.5         	0.003162    	0.006938    	0.01148     
1           	930         	7.55        	0.004729    	0.007511    	0.008631    
1           	935         	7.817       	0.007953    	0.01666     	0.01274     
1           	940         	7.633       	0.00533     	0.01395     	0.004143    
1           	945         	7.8         	0.006606    	0.0058      	0.002364    
1           	950         	7.767       	0.006733    	0.006777    	0.003935    
1           	955         	7.617       	-0.002612   	0.008697    	0.002661    
