replicate   	generation  	n.adlt.rs   	n.adlt.fst.wc_p1-2	n.adlt.fst.wc_p1-3	n.adlt.fst.wc_p2-3
1           	436         	3.517       	0.02098     	0.04413     	0.009311    
1           	440         	3.483       	0.01405     	0.04623     	0.03341     
1           	444         	3.483       	0.01595     	0.0579      	0.02421     
1           	448         	3.55        	0.01634     	0.03125     	0.02501     
1           	452         	3.45        	0.02116     	0.05454     	0.0342      
1           	456         	3.433       	0.0137      	0.03463     	0.01957     
1           	460         	3.483       	0.01582     	0.06292     	0.02635     
1           	464         	3.383       	0.02835     	0.04594     	0.02462     
1           	468         	3.433       	0.02226     	0.05952     	0.01966     
1           	472         	3.433       	0.01407     	0.04693     	0.02799     
1           	476         	3.467       	0.0482      	0.06947     	0.01602     
1           	480         	3.45        	0.01524     	0.03993     	0.007321    
1           	484         	3.383       	0.008589    	0.03105     	0.008844    
1           	488         	3.383       	0.009527    	0.03162     	0.0195      
1           	492         	3.483       	0.01208     	0.02288     	0.01599     
1           	496         	3.55        	0.02713     	0.04585     	0.01843     
1           	500         	3.5         	0.01359     	0.04578     	0.03106     
1           	504         	3.417       	0.02977     	0.04882     	0.03679     
1           	508         	3.467       	0.02856     	0.03637     	0.0277      
1           	512         	3.367       	0.02931     	0.02797     	0.02697     
1           	516         	3.35        	0.01498     	0.01353     	0.01201     
1           	520         	3.25        	0.01547     	0.03412     	0.01699     
1           	524         	3.3         	0.01153     	0.01991     	0.02417     
1           	528         	3.417       	0.02351     	0.04843     	0.01721     
1           	532         	3.383       	0.01714     	0.02974     	0.02136     
1           	536         	3.167       	0.01632     	0.01755     	0.008902    
1           	540         	3.333       	0.0214      	0.03866     	0.01598     
1           	544         	3.367       	0.01683     	0.02771     	0.005733    
1           	548         	3.45        	0.02564     	0.03796     	0.01233     
1           	552         	3.55        	0.02752     	0.02233     	0.009118    
1           	556         	3.633       	0.02496     	0.03729     	0.01709     
1           	560         	3.45        	0.01384     	0.03679     	0.01728     
1           	564         	3.55        	0.02347     	0.03479     	0.01019     
1           	568         	3.45        	0.01206     	0.03756     	0.03005     
1           	572         	3.35        	0.01664     	0.05578     	0.03185     
1           	576         	3.383       	0.01742     	0.05328     	0.01335     
1           	580         	3.333       	0.0176      	0.06523     	0.03374     
1           	584         	3.5         	0.03371     	0.06413     	0.02049     
1           	588         	3.283       	0.04422     	0.06319     	0.01614     
1           	592         	3.283       	0.02476     	0.03213     	0.008072    
1           	596         	3.317       	0.005686    	0.04186     	0.01511     
1           	600         	3.3         	0.02497     	0.03476     	0.02205     
1           	604         	3.333       	0.0123      	0.06098     	0.02419     
1           	608         	3.4         	0.02548     	0.06813     	0.0152      
1           	612         	3.35        	0.03471     	0.04933     	0.005704    
1           	616         	3.217       	0.02083     	0.03114     	0.01658     
1           	620         	3.467       	0.006615    	0.03427     	0.01321     
1           	624         	3.467       	0.01608     	0.04395     	0.01126     
1           	628         	3.417       	0.03229     	0.03654     	0.003051    
1           	632         	3.233       	0.02444     	0.04398     	0.01352     
1           	636         	3.283       	0.03034     	0.04669     	0.0341      
1           	640         	3.383       	0.02881     	0.06912     	0.03765     
1           	644         	3.383       	0.03576     	0.08064     	0.03441     
1           	648         	3.217       	0.04048     	0.0514      	0.01223     
1           	652         	3.333       	0.01834     	0.0392      	0.009643    
1           	656         	3.25        	0.02896     	0.02922     	0.01443     
1           	660         	3.217       	0.02277     	0.05015     	0.003922    
1           	664         	3.15        	0.02217     	0.04853     	0.01328     
1           	668         	3.117       	0.03022     	0.04576     	0.01905     
1           	672         	3.183       	0.02012     	0.04042     	0.01687     
1           	676         	3.067       	0.01291     	0.04909     	0.01433     
1           	680         	3.217       	0.01507     	0.05412     	0.02033     
1           	684         	3.183       	0.02329     	0.04735     	0.0245      
1           	688         	3.25        	0.02244     	0.04441     	0.02169     
1           	692         	3.25        	0.01272     	0.03288     	0.01581     
1           	696         	3.167       	0.03354     	0.05737     	0.01142     
1           	700         	3.1         	0.0443      	0.06243     	0.01949     
1           	704         	3.133       	0.02478     	0.06058     	0.02627     
1           	708         	3.133       	0.02024     	0.05313     	0.04539     
1           	712         	3.117       	0.01794     	0.04473     	0.02594     
1           	716         	3.167       	0.01281     	0.06257     	0.03119     
1           	720         	2.967       	0.03165     	0.04666     	0.0208      
1           	724         	3.15        	0.009894    	0.05562     	0.02619     
1           	728         	3.2         	0.02465     	0.06461     	0.01154     
1           	732         	3.15        	0.05116     	0.1031      	0.02012     
1           	736         	3.15        	0.03249     	0.07019     	0.02121     
1           	740         	3.233       	0.03765     	0.06119     	0.009097    
1           	744         	3.217       	0.02577     	0.05223     	0.009918    
1           	748         	3.183       	0.04337     	0.05772     	0.01248     
